timestamp,open,high,low,close,volume
2022-03-15,7.7700,8.3300,7.7600,8.2000,3765243
2022-03-14,8.5300,8.5500,8.0000,8.0700,5510889
2022-03-11,8.4200,8.8200,8.3900,8.7200,6277572
2022-03-10,8.4200,8.7150,8.4100,8.6900,5657234
2022-03-09,7.9600,8.3800,7.9000,8.3700,4737693
2022-03-08,8.3300,8.7550,8.2247,8.4300,10002198
2022-03-07,7.9000,8.2500,7.7650,8.2200,7104692
2022-03-04,7.9100,7.9150,7.6950,7.8400,6784103
2022-03-03,7.6200,7.7100,7.4650,7.7100,4622593
2022-03-02,7.5900,7.6990,7.4400,7.6200,3809324
2022-03-01,7.4100,7.7400,7.4000,7.7300,4569835
2022-02-28,7.5600,7.6300,7.2801,7.3600,5028767
2022-02-25,7.1700,7.4500,7.1000,7.4300,4685523
2022-02-24,7.7300,7.7700,7.0900,7.2200,7829125
2022-02-23,7.2500,7.5100,7.2200,7.3500,4429306
2022-02-22,7.3900,7.4500,7.1450,7.2100,4185294
2022-02-18,7.5400,7.5500,7.2950,7.3400,5632187
2022-02-17,7.4800,7.6450,7.3400,7.5400,6145868
2022-02-16,7.2700,7.4200,7.2400,7.3700,3180448
2022-02-15,7.1100,7.2200,6.9900,7.1800,3621546
2022-02-14,7.2400,7.3300,7.1700,7.2900,5128209
2022-02-11,6.8000,7.2600,6.7650,7.2000,5985130
2022-02-10,6.9900,7.0700,6.7100,6.7600,3513093
2022-02-09,7.1100,7.1200,7.0100,7.0300,3031681
2022-02-08,7.0600,7.1400,7.0200,7.0900,2440621
2022-02-07,6.7300,7.1200,6.6900,7.0900,4648307
2022-02-04,6.5500,6.6900,6.5100,6.6300,6665163
2022-02-03,6.7100,6.7800,6.5700,6.5800,5438575
2022-02-02,6.8400,6.9250,6.7350,6.7700,3436383
2022-02-01,6.9300,6.9550,6.7550,6.8500,4385677
2022-01-31,6.7700,6.8500,6.6900,6.8300,4498415
2022-01-28,6.5700,6.7300,6.5300,6.7300,4004309
2022-01-27,6.7500,6.8950,6.6400,6.6500,3196062
2022-01-26,7.1000,7.2400,6.8200,6.8900,4680423
2022-01-25,6.9700,7.2500,6.9500,7.1600,5186238
2022-01-24,6.9400,7.0600,6.7800,7.0500,4707234
2022-01-21,7.2200,7.2600,6.9950,7.0300,3556396
2022-01-20,7.4600,7.4600,7.1500,7.1900,6196856
2022-01-19,6.7800,7.3900,6.7500,7.3100,7871365
2022-01-18,6.9300,6.9600,6.6200,6.6500,11311637
2022-01-14,7.3000,7.3150,7.0900,7.1000,2234363
2022-01-13,7.3600,7.4200,7.2340,7.2800,2665225
2022-01-12,7.4000,7.5100,7.2800,7.4100,3004991
2022-01-11,7.2200,7.3600,7.1400,7.3400,4351684
2022-01-10,7.0300,7.2050,6.9100,7.1900,3315194
2022-01-07,7.0600,7.1200,6.9600,7.0300,3254722
2022-01-06,7.1800,7.2300,7.0350,7.0400,3226427
2022-01-05,7.5700,7.7400,7.3000,7.3200,3512787
2022-01-04,7.5100,7.7299,7.4400,7.5300,2334827
2022-01-03,7.5850,7.6498,7.4800,7.4800,1721004
2021-12-31,7.6400,7.6950,7.5950,7.6900,1486872
2021-12-30,7.4100,7.6150,7.4100,7.6000,1300426
2021-12-29,7.3900,7.6150,7.3749,7.4700,2124804
2021-12-28,7.5250,7.6500,7.4900,7.5100,1406155
2021-12-27,7.4900,7.6000,7.4400,7.5100,1118483
2021-12-23,7.4500,7.5600,7.3600,7.5300,1486101
2021-12-22,7.3300,7.4600,7.2400,7.4400,1582825
2021-12-21,7.3200,7.3850,7.2000,7.3100,2443394
2021-12-20,7.2300,7.2900,7.1000,7.2800,2739403
2021-12-17,7.2700,7.3900,7.1600,7.2400,8630734
2021-12-16,6.9500,7.2150,6.9500,7.1900,4465246
2021-12-15,6.9600,6.9700,6.6400,6.8200,7149559
2021-12-14,7.0500,7.1250,6.9300,6.9900,3511878
2021-12-13,7.1500,7.2700,7.0800,7.1700,5088824
2021-12-10,7.2900,7.2900,7.0200,7.1500,3189163
2021-12-09,7.3200,7.3800,7.1400,7.2100,2571836
2021-12-08,7.4900,7.5050,7.3800,7.4700,3233751
2021-12-07,7.4000,7.6000,7.3800,7.4900,2182246
2021-12-06,7.2900,7.4200,7.1750,7.3900,2267998
2021-12-03,7.2800,7.3850,7.1550,7.3200,4637552
2021-12-02,7.4000,7.4400,7.1100,7.2700,4897453
2021-12-01,7.7500,7.9850,7.4400,7.4500,4905101
2021-11-30,7.8200,8.0450,7.6300,7.6400,4475755
2021-11-29,7.7700,7.8100,7.6500,7.7300,2045792
2021-11-26,8.0100,8.0400,7.6800,7.8300,1857821
2021-11-24,7.8600,8.0150,7.8550,7.9400,1331249
2021-11-23,7.9200,8.0400,7.7800,7.9400,3130746
2021-11-22,8.0500,8.1700,7.9000,8.0500,2770735
2021-11-19,8.3400,8.4750,8.2700,8.2700,1645849
2021-11-18,8.4800,8.5950,8.3350,8.3700,2012966
2021-11-17,8.4600,8.6965,8.4100,8.5300,2036151
2021-11-16,8.6600,8.6700,8.3750,8.3900,3148580
2021-11-15,8.6200,8.6950,8.5450,8.6100,2010511
2021-11-12,8.6100,8.8400,8.5100,8.6700,2387316
2021-11-11,8.6300,8.8300,8.4500,8.7100,3709707
2021-11-10,8.4100,8.5500,8.3900,8.4700,4365089
2021-11-09,8.0600,8.2400,7.9300,8.2200,3564440
2021-11-08,8.0300,8.0500,7.8950,8.0000,2001723
2021-11-05,7.7000,7.9400,7.6100,7.9400,1920938
2021-11-04,7.8100,7.9560,7.6150,7.6200,2143840
2021-11-03,7.4500,7.6850,7.3950,7.6500,1690314
2021-11-02,7.4500,7.5700,7.3800,7.5700,2756516
2021-11-01,7.4600,7.5700,7.3400,7.5300,1991678
2021-10-29,7.6900,7.6900,7.4000,7.4400,3763982
2021-10-28,7.9350,8.1150,7.6600,7.7900,6922029
2021-10-27,8.1600,8.3100,8.0300,8.2800,2453534
2021-10-26,8.0600,8.1800,7.9900,8.1600,2484664
2021-10-25,8.0900,8.2100,7.9900,8.1400,2156566
2021-10-22,8.1100,8.2650,7.9700,8.0000,2616880
2021-10-21,8.0100,8.0500,7.9100,8.0200,1760406
