timestamp,open,high,low,close,volume
2022-03-15,7.8300,8.2900,7.7800,8.0000,437261
2022-03-14,7.8700,8.4600,7.7300,7.8100,444920
2022-03-11,7.5300,7.8400,7.5200,7.7900,321479
2022-03-10,7.1200,7.6400,6.8000,7.4000,286467
2022-03-09,6.2000,7.4800,6.0600,7.2600,930079
2022-03-08,5.8900,6.3600,5.6570,6.0000,564615
2022-03-07,6.0200,6.3050,6.0200,6.1100,366255
2022-03-04,5.9400,6.0450,5.8700,6.0200,87453
2022-03-03,6.2000,6.2000,5.8200,5.9900,120837
2022-03-02,6.3200,6.3200,5.9600,6.0300,207398
2022-03-01,5.7200,6.3800,5.6600,6.3300,350375
2022-02-28,6.3500,6.3800,5.7250,5.7900,351695
2022-02-25,5.9600,6.4100,5.8000,6.3800,219533
2022-02-24,5.5000,5.9400,5.2867,5.9300,158945
2022-02-23,5.9400,5.9900,5.7200,5.7300,175260
2022-02-22,5.9000,6.0500,5.8600,5.8900,137845
2022-02-18,6.1600,6.3200,5.9700,5.9800,114925
2022-02-17,6.3700,6.3700,6.1600,6.1800,82266
2022-02-16,6.2100,6.5100,6.1100,6.4300,92200
2022-02-15,6.1400,6.2900,6.0100,6.2400,124774
2022-02-14,6.2600,6.4400,6.0500,6.0500,91347
2022-02-11,6.2400,6.4550,6.2100,6.2700,90949
2022-02-10,6.1500,6.5100,6.1500,6.2500,190197
2022-02-09,6.2700,6.3999,6.2000,6.3200,141365
2022-02-08,6.1900,6.2800,6.0900,6.1800,177299
2022-02-07,6.3400,6.5200,6.2201,6.2500,176828
2022-02-04,6.2700,6.4049,6.1300,6.3200,162094
2022-02-03,6.3200,6.5200,6.1000,6.2700,75467
2022-02-02,6.4600,6.6900,6.3700,6.5000,178614
2022-02-01,6.2100,6.4800,5.9150,6.4800,260182
2022-01-31,5.8800,6.2000,5.7000,6.2000,268437
2022-01-28,5.5500,5.9600,5.5100,5.9100,78458
2022-01-27,5.7200,6.3700,5.5300,5.5900,85109
2022-01-26,6.0800,6.2200,5.7000,5.7300,293815
2022-01-25,6.1800,6.1800,5.9400,5.9700,195208
2022-01-24,6.2800,6.4300,5.8700,6.2800,497276
2022-01-21,6.7200,6.7450,6.3100,6.4000,335661
2022-01-20,6.8900,7.1000,6.7400,6.7700,128324
